Freq_Thz,S11-db,VSWR,W1
6.08,-7.640275042,2.418458085,4
6.1,-7.623472762,2.423159057,4
6.12,-7.480394636,2.464099697,4
6.14,-7.23695046,2.537711676,4
6.16,-6.949474727,2.631672139,4
6.18,-6.674356204,2.729590861,4
6.2,-6.445662382,2.817671811,4
6.22,-6.272092923,2.889011325,4
6.24,-6.144890377,2.943965811,4
6.26,-6.046796909,2.98799018,4
6.28,-5.958339236,3.02898361,4
6.3,-5.861754978,3.075211878,4
6.32,-5.743936908,3.133788877,4
6.34,-5.598788888,3.209468557,4
6.36,-5.428683022,3.303493604,4
6.38,-5.244241896,3.412564976,4
6.4,-5.062226313,3.528237666,4
6.42,-4.902112383,3.637300544,4
6.44,-4.782457866,3.723702131,4
6.46,-4.718060679,3.772063585,4
6.48,-4.718700414,3.7715765,4
6.5,-4.789532304,3.718470565,4
6.52,-4.932880587,3.615778009,4
6.54,-5.150595461,3.471027365,4
6.56,-5.446383687,3.293426747,4
6.58,-5.827611935,3.091934443,4
6.6,-6.306432242,2.874571982,4
6.62,-6.899628566,2.648804517,4
6.64,-7.625104377,2.422701595,4
6.66,-8.489193702,2.206697033,4
6.68,-9.452568805,2.015679699,4
6.7,-10.36695995,1.870042106,4
6.72,-10.94659665,1.791644706,4
6.74,-10.95444471,1.790647106,4
6.76,-10.48087649,1.853866091,4
6.78,-9.819155394,1.953689721,4
6.8,-9.172736348,2.066670552,4
6.82,-8.605704444,2.181123488,4
6.84,-8.114584836,2.294294862,4
6.86,-7.681004102,2.407153608,4
6.88,-7.291633097,2.520723543,4
6.9,-6.941786642,2.634297684,4
6.92,-6.633186333,2.744977986,4
6.94,-6.370545342,2.848047726,4
6.96,-6.15885412,2.937817544,4
6.98,-6.001965818,3.008609018,4
7,-5.902367232,3.055582184,4
1,-0.778734215,22.32265339,20
1.02,-0.807249512,21.53520224,20
1.04,-0.839194552,20.7166388,20
1.06,-0.874958159,19.87119747,20
1.08,-0.915133094,19.00034643,20
1.1,-0.960539285,18.1038711,20
1.12,-1.012288922,17.18031004,20
1.14,-1.071911297,16.22692182,20
1.16,-1.141581336,15.239193,20
1.18,-1.224549755,14.20974756,20
1.2,-1.326000004,13.126323,20
1.22,-1.454887692,11.96819249,20
1.24,-1.628193007,10.70058501,20
1.26,-1.881382402,9.269590693,20
1.28,-2.292757222,7.620750033,20
1.3,-2.995419849,5.856810344,20
1.32,-3.771471772,4.678242241,20
1.34,-3.61667555,4.872442964,20
1.36,-3.196110957,5.496476364,20
1.38,-3.1110992,5.643376741,20
1.4,-3.271241253,5.373076317,20
1.42,-3.595562344,4.900246048,20
1.44,-4.062757179,4.353533844,20
1.46,-4.684311464,3.797953019,20
1.48,-5.49398716,3.266685583,20
1.5,-6.548052803,2.777439886,20
1.52,-7.933264052,2.339889047,20
1.54,-9.785450851,1.959175836,20
1.56,-12.32194326,1.638692118,20
1.58,-15.83774062,1.385148692,20
1.6,-19.69198363,1.231171192,20
1.62,-18.71060086,1.26245162,20
1.64,-14.88554125,1.439580095,20
1.66,-11.9528316,1.675787263,20
1.68,-9.904868373,1.939923828,20
1.7,-8.462960377,2.21255996,20
1.72,-7.443889853,2.474812928,20
1.74,-6.721053925,2.712376935,20
1.76,-6.182331377,2.927545654,20
1.78,-5.714911661,3.148604193,20
1.8,-5.236586063,3.417263613,20
1.82,-4.738404769,3.756639872,20
1.84,-4.263742792,4.155789711,20
1.86,-3.851562571,4.583983412,20
1.88,-3.514533584,5.010094899,20
1.9,-3.24774364,5.411050044,20
1.92,-3.040499184,5.77168583,20
1.94,-2.88235401,6.082147565,20
1.96,-2.76498596,6.335738791,20
1.98,-2.681850621,6.528912592,20
2,-2.62545965,6.666963391,20
2.02,-2.58316421,6.774493369,20
2.04,-2.544921722,6.874819191,20
2.06,-2.519597093,6.942944437,20
2.08,-2.517814434,6.947791925,20
2.1,-2.540444593,6.886763488,20
2.12,-2.585859548,6.76753514,20
2.14,-2.653693707,6.597104475,20
2.16,-2.745177217,6.380696047,20
2.18,-2.862983809,6.122554622,20
2.2,-3.011189866,5.826738636,20
2.22,-3.19563552,5.497275949,20
2.24,-3.424205678,5.138763733,20
2.26,-3.707556148,4.756432992,20
2.28,-4.059973027,4.356413197,20
2.3,-4.500587657,3.945865578,20
2.32,-5.055007777,3.533001856,20
2.34,-5.757040959,3.127150904,20
2.36,-6.651347654,2.738165625,20
2.38,-7.79556966,2.376029528,20
2.4,-9.263664338,2.049732086,20
2.42,-11.15027981,1.766266957,20
2.44,-13.58043791,1.529726462,20
2.46,-16.73368753,1.340965683,20
2.48,-20.89775586,1.198238005,20
2.5,-26.38428346,1.100729325,20
2.52,-29.8080242,1.066819201,20
2.54,-25.74182663,1.108883285,20
2.56,-21.42407274,1.185501522,20
2.58,-17.86703302,1.293142968,20
2.6,-14.90722733,1.438243777,20
2.62,-12.50766481,1.620985347,20
2.64,-10.64076264,1.831814995,20
2.66,-9.256553451,2.051043634,20
2.68,-8.290020611,2.252211794,20
