"Freq [thz]","VSWR(1) [] - W1='4um'","VSWR(1) [] - W1='20um'","VSWR(1) [] - W1='30um'","VSWR(1) [] - W1='40um'","VSWR(1) [] - W1='50um'","VSWR(1) [] - W1='60um'"
2.02,5.8209917169282,6.77449336938523,5.08653761657794,5.48102472812179,5.22206786599574,5.2645020356433
2.04,5.65013893286774,6.87481919146329,5.17742165924289,5.85850803194283,5.70286220713195,5.77551747804816
2.06,5.4446284442718,6.94294443726684,5.42663168779163,6.08193871312277,6.15162864136576,6.17310838290655
2.08,5.20715116896164,6.94779192492649,5.69942313414257,6.17730498702346,6.3808117625281,6.33301446141247
2.1,4.94071384086478,6.88676348836016,5.8788595430685,6.17798445689507,6.39694027821908,6.28504052430205
2.12,4.64932104146326,6.76753513996683,5.95309717910779,6.10728497855587,6.25946543725081,6.08960140403933
2.14,4.33746380277337,6.59710447546536,5.9413194758908,5.98035136178443,6.01772695532585,5.79357084980595
2.16,4.0105018618482,6.38069604664877,5.8612754244115,5.80746737103937,5.70432478942238,5.42817928088312
2.18,3.67470378336384,6.12255462238892,5.72551173381565,5.59629856385449,5.34062922115577,5.01462406346361
2.2,3.33716618163466,5.82673863620728,5.543043125822,5.35303172506893,4.94183711300556,4.56891263522704
2.22,3.00573679426378,5.49727594857263,5.32095697200196,5.08316410046986,4.51997090841767,4.10480393095422
2.24,2.68878608579704,5.13876373289586,5.06540856884861,4.79191876527621,4.0856556701536,3.63566860264223
2.26,2.39489574693374,4.75643299150396,4.7821950920832,4.48452061569127,3.64903078757615,3.17558629004617
2.28,2.13255817706961,4.35641319732134,4.47708207312007,4.16638745131544,3.22024079797262,2.73986717585299
2.3,1.91000696234661,3.94586557775235,4.15597834967784,3.84328872468455,2.80957232936204,2.34498761488259
2.32,1.73521925888934,3.53300185607905,3.82500451934174,3.52138039484856,2.42742464331836,2.00727977020404
2.34,1.61543706423094,3.12715090394598,3.49047516607306,3.20745376055207,2.0841922116567,1.74006887796762
2.36,1.55434274687783,2.73816562529907,3.1588092299838,2.90884454448672,1.79015199172078,1.54827503754039
2.38,1.54660025047505,2.37602952796104,2.83639131439842,2.63356947595568,1.555493919409,1.42123819525719
2.4,1.57626885024824,2.04973208620501,2.52942601124108,2.39036360732686,1.38989690582953,1.33224625924868
2.42,1.62342888775103,1.76626695730809,2.24385613824879,2.18862987874188,1.29854978078659,1.2553460981212
2.44,1.67133433216075,1.52972646190029,1.9854664747704,2.03816065255408,1.27308710757131,1.18771309385343
2.46,1.708983176181,1.34096568281829,1.76041886999513,1.9477370961884,1.29829035772338,1.16322744154343
2.48,1.73077098706584,1.19823800526993,1.5767516975634,1.92206453476662,1.37103894110636,1.21991948269492
2.5,1.73531240230766,1.10072932528644,1.44748732746779,1.95840119888326,1.49057267916318,1.33510207524342
2.52,1.72385113095338,1.06681920086637,1.39221873913234,2.04631853718927,1.64777993445349,1.48085693157677
2.54,1.6985133456968,1.108883284525,1.4231257819717,2.1710206658034,1.83004554677503,1.64498565524492
2.56,1.66077363684005,1.18550152153769,1.52643821272295,2.31663585091466,2.02620462714044,1.82186731500596
2.58,1.61059364321406,1.29314296836466,1.67857428066491,2.46733026360213,2.22793654954397,2.008627836331
2.6,1.54670151863239,1.43824377680724,1.86273834475811,2.60714000198156,2.42940311642867,2.20314270311976
2.62,1.46831127636487,1.62098534701213,2.06655935340321,2.71967708307804,2.62602126678247,2.40181095475383
2.64,1.38029697687373,1.83181499539818,2.27630921130412,2.7885164679721,2.81272330035512,2.59696688323215
2.66,1.30764300019089,2.0510436340861,2.47362211068897,2.7987759434261,2.98215857309161,2.7749594648784
2.68,1.31170561043993,2.252211793924,2.63588451163803,2.74104580887092,3.12350980834897,2.91664880322305
2.7,1.40769397335138,2.40916824360711,2.74048524029846,2.61925868694223,3.22297943608446,3.00183681537814
2.72,1.50219271911385,2.50369078897339,2.77111903331355,2.46073037121616,3.26726325758131,3.01735362858996
2.74,1.54049953243647,2.52997489011695,2.72282062797575,2.315398068825,3.2510358591212,2.965828662353
2.76,1.54680052768879,2.49518106647008,2.60352710719169,2.23002932116554,3.18555870719427,2.86936683897807
2.78,1.55897277076213,2.41822925573672,2.43274191566279,2.21638014446677,3.09778649833025,2.76203083853241
2.8,1.59896297752053,2.32914073952215,2.23931271041439,2.25285693118206,3.01375317313963,2.6721961732819
2.82,1.6737077301584,2.26751563239044,2.05939433751159,2.31209458522227,2.94307752421381,2.60924771342386
2.84,1.78145047714014,2.27272361254439,1.93327896992649,2.37780847213253,2.88100424452164,2.56620636424911
2.86,1.91704253457828,2.36197249062466,1.89613256507008,2.44443685443407,2.81911147171085,2.53121538019781
2.88,2.07455520461332,2.51606173475648,1.96030892083675,2.51162884329478,2.75269765473156,2.49605116222146
2.9,2.24798803435713,2.69453114579078,2.10734095892266,2.5803909078142,2.68416009624678,2.45947155518458
2.92,2.43125090352802,2.862267525874,2.30339388097934,2.65159537615363,2.62402712409628,2.4277993962684
2.94,2.61807665884077,3.00127235975358,2.51728706146296,2.7258526333991,2.58847343375093,2.41302411529306
2.96,2.80207975423481,3.10801668693075,2.72717399746174,2.80385558722599,2.59248850460309,2.42779379552973
2.98,2.9769530035067,3.18729000089923,2.92002685036661,2.88660021940638,2.64245685148988,2.47931756064213
3,3.1367878382185,3.24738789352627,3.08900689170787,2.97511717452578,2.73377953696954,2.56637767921038
3.02,3.27640446639757,3.29639187151007,3.23101870229291,3.06963778936524,2.85438393194973,2.6810878497665
3.04,3.39170363877442,3.33933520346989,3.34502969532431,3.16866997415688,2.98994618421856,2.81290104856113
3.06,3.47991039034273,3.37712195084097,3.43100126033649,3.26898700687699,3.12742583261415,2.95181734353931
3.08,3.53973394474491,3.40742041306411,3.48929320988975,3.36677621953958,3.25644915847916,3.08974579697641
3.1,3.57135914026414,3.42654187106066,3.52058899968606,3.45914865976209,3.36952738513496,3.22047148806548
3.12,3.57633495804696,3.43111110530674,3.52620769192832,3.54455625546535,3.46179297421835,3.33886870605477
3.14,3.55732556282723,3.41889686126721,3.50838624194635,3.62229639739942,3.53057674529626,3.44000330304511
3.16,3.51778687565545,3.38904991339444,3.47024317510949,3.69155119165235,3.57474345396624,3.51851963697436
3.18,3.46160286505804,3.34188127712499,3.41546784888481,3.75072732811798,3.59377667322875,3.56866445945681
