"Freq [thz]","dB(S(1,1)) []"
3.58,-9.33111013770111
3.6,-8.92681203225947
3.62,-8.96436035041625
3.64,-9.41245065668176
3.66,-9.89531777464309
3.68,-10.3484013609143
3.7,-10.9878798676407
3.72,-11.5030026276519
3.74,-11.3947194571582
3.76,-10.8909625451704
3.78,-10.4595603679429
3.8,-10.242236743145
3.82,-10.2182069292858
3.84,-10.5454304977288
3.86,-11.0880939000039
3.88,-10.2034372608331
3.9,-7.88421476075115
3.92,-5.89104815440942
3.94,-4.65260821562868
3.96,-4.00317960547006
3.98,-3.7288914780277
4,-3.66885561111139
4.02,-3.75011727345038
4.04,-4.04484599003449
4.06,-4.82436523137712
4.08,-6.3741016529933
4.1,-8.20563028988348
4.12,-8.90457334618035
4.14,-8.24875403026976
4.16,-7.2811074157367
4.18,-6.58674833655318
4.2,-6.26511206106615
4.22,-6.20027326868365
4.24,-6.04284495891709
4.26,-5.46346925754126
4.28,-4.94293225521786
4.3,-5.04026819466733
4.32,-5.80668158068577
4.34,-7.21089121113532
4.36,-9.01604521287608
4.38,-10.0429623287792
4.4,-9.2083638854276
4.42,-8.20426284848768
4.44,-8.27361582226859
4.46,-9.57933357818251
4.48,-12.5097379680479
4.5,-17.8482272996292
4.52,-16.167303319369
4.54,-11.1503208695292
4.56,-8.496860368873
4.58,-7.1590221339573
4.6,-6.66914901035396
4.62,-6.88074766817657
4.64,-7.87971960136738
4.66,-9.52073365538992
4.68,-10.4350019071815
4.7,-9.44010769161985
4.72,-7.40264082441811
4.74,-6.27162958517749
4.76,-6.84577446539496
4.78,-7.75641905443104
4.8,-7.78476204569928
4.82,-7.92897989120219
4.84,-8.70968950766549
4.86,-9.86121280741246
4.88,-10.8964165992695
4.9,-12.0917845679651
4.92,-13.2320082704831
4.94,-12.366521049755
4.96,-12.6086052564568
4.98,-12.8295950607046
5,-12.554462496513
5.02,-11.5857460132718
5.04,-10.7034340444321
5.06,-10.8910795830969
5.08,-12.089998005425
5.1,-13.5324032188505
5.12,-14.5633772201043
5.14,-14.7398363182393
5.16,-14.4718840992
5.18,-13.5583237994222
5.2,-11.3021214590892
5.22,-9.03947080061153
5.24,-7.77945481468166
5.26,-7.10151003663949
5.28,-6.61006890531431
5.3,-6.75587756356695
5.32,-7.35433244930676
5.34,-8.3559446228814
5.36,-10.1278746523952
5.38,-13.4796031126967
5.4,-16.9495390669065
5.42,-15.5191547039587
5.44,-13.3417927433433
5.46,-10.9957565563271
5.48,-8.69245180100885
5.5,-7.23133356166152
5.52,-6.84080958022414
5.54,-7.07643944348112
5.56,-7.46835290852997
5.58,-8.24375178025751
5.6,-9.74567831860338
5.62,-12.0837312011799
5.64,-14.4926363374385
5.66,-15.4461258092186
5.68,-14.7407567975785
5.7,-11.7829792595019
5.72,-9.04213142246894
5.74,-7.62734481656566
5.76,-7.04575436724645
5.78,-6.47447667074161
5.8,-5.97086701851006
5.82,-5.57570572749853
5.84,-5.27483501366962
5.86,-5.07333492727349
5.88,-5.18516050802876
5.9,-5.57167434916064
5.92,-6.08976668725676
5.94,-7.26718381018192
5.96,-10.6159931733597
5.98,-16.2971709941963
6,-10.8136867979096
6.02,-6.78486855144567
6.04,-5.12520375664951
6.06,-4.17230768020788
6.08,-3.32858427045217
6.1,-3.49902285988995
6.12,-4.80143248508184
6.14,-5.15636629374399
6.16,-4.47663001501699
6.18,-4.09628859279986
6.2,-4.30120201548138
6.22,-5.06146808753527
6.24,-5.61172012423826
6.26,-5.91505133814819
6.28,-6.93608580636405
6.3,-8.57832700309504
6.32,-10.3819850528599
6.34,-12.5786582664002
6.36,-14.1501541532906
6.38,-15.0824541740767
6.4,-16.3644201199142
6.42,-12.4344524418617
6.44,-8.11555722603005
6.46,-7.14044761514523
6.48,-8.1686308461236
6.5,-10.7279323203816
6.52,-13.0463018735874
6.54,-15.3225843981481
6.56,-13.5484413691221
6.58,-9.17677303910313
6.6,-6.96849451061617
6.62,-5.95783220903136
6.64,-5.25944835598141
6.66,-5.14860953478806
6.68,-5.7762355566807
6.7,-7.59303308729026
6.72,-10.7622113870823
6.74,-13.6718494632375
6.76,-13.3772736796154
6.78,-13.0618300781959
6.8,-14.5255500040017
6.82,-16.7423523808693
6.84,-15.3174783953733
6.86,-16.1138650364626
6.88,-22.5690792187011
6.9,-18.2785935282094
6.92,-13.0107488671311
6.94,-10.8892685407697
6.96,-10.4555451868063
6.98,-11.0265898044492
7,-11.6558739908246
